invoiceid,invoice_pk,orderid,orderpk,createdtimestamp,cleanuptaskid,errordescription,iserror,publishcount,process,failedamount,fulfillmentdate,sellinglocationid,updatedby,amountprocessed,totalcharges,invoicesubtotal,parentorderid,taxexemptid,totaltaxes,totaldiscounts,publishstatusid,statusid,updatedtimestamp,createdby,invoicetypeid,customerid,orgid,contextid,packageid,invoicetotal,unique_identifier,invoiceadditional,messageid,load_date,update_date
123000000,6995986757174301088,122000000,6631865485102488457,2021-04-01T00:00:00.000,TASK2563,NONE,False,3,FINALIZED,0,2021-04-03T00:00:00.000,LOC4657,user8672@dxlg.com,51.96,13.46,47.8,NONE,TAX002,4.16,2.6,3000,100,2021-04-01T20:00:00.000,system@dxlg.com,DEBIT,CUST46741,dxlg-us,968bc273-ce4d-4037-9351-5c01837c62df,PKG55399,51.96,50804900-5768-46fd-bb82-7b6b851ac82e,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",b6059a1c-8dfd-4b4d-a614-3d52b7112db4,2025-12-05,2025-12-05
123000001,6209291181499344680,122000001,6284965174341904044,2025-08-31T00:00:00.000,TASK6895,NONE,False,3,PROCESSED,0,2025-09-01T00:00:00.000,LOC9928,user5121@dxlg.com,427.23,13.39,393.05,NONE,NONE,34.18,21.36,2000,100,2025-08-31T21:00:00.000,system@dxlg.com,DEBIT,CUST32249,dxlg-us,27f3a7e2-b3ea-45c2-9470-b150b64b0be0,PKG78686,427.23,ece6e090-d881-4456-ac36-a6c868a86188,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",d2c7648c-9fb1-45e8-ba10-5779890490c5,2025-12-05,2025-12-05
123000002,6790621568775080655,122000002,6806786787297616019,2023-10-10T00:00:00.000,TASK5090,COMPLETED,False,3,FINALIZED,0,2023-10-13T00:00:00.000,LOC6881,user9122@dxlg.com,356.77,7.76,328.23,NONE,NONE,28.54,17.84,2000,200,2023-10-10T06:00:00.000,system@dxlg.com,CREDIT,CUST18161,dxlg-us,13bb2185-d3a2-4fcf-bbd3-a6ae3ea74800,PKG73569,356.77,a45b6503-7387-4719-99dd-a5c8649fc601,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",63a65079-30a8-4805-93d7-c9d4a99d4fff,2025-12-05,2025-12-05
123000004,6203746758073109595,122000004,6646129077207431667,2024-02-03T00:00:00.000,TASK9867,NONE,False,3,COMPLETED,0,2024-02-05T00:00:00.000,LOC5374,user2689@dxlg.com,267.54,8.69,246.14,NONE,TAX001,21.4,13.38,1000,200,2024-02-03T04:00:00.000,system@dxlg.com,STANDARD,CUST85359,dxlg-us,ec0d0bfc-beec-4ba1-a4ed-7140b5aacd8d,PKG53099,267.54,289296ef-c833-49e4-a7df-5f4a7582c96c,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",07874b98-7030-4dc8-821d-cdbb74f335bb,2025-12-05,2025-12-05
123000005,6824519123969631133,122000005,6834505238915426215,2023-01-10T00:00:00.000,TASK6355,COMPLETED,False,1,FINALIZED,0,2023-01-13T00:00:00.000,LOC1916,user1193@dxlg.com,319.37,12.75,293.82,NONE,TAX002,25.55,15.97,2000,100,2023-01-10T10:00:00.000,system@dxlg.com,CREDIT,CUST75795,dxlg-us,dc48e4f6-1428-44dc-bbf6-ab78e93fcbf6,PKG43603,319.37,7cf160c6-3375-4767-95ee-54df1dd5b7eb,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",e8e3c4bb-a05b-4994-97b5-d78bf3b74b9c,2025-12-05,2025-12-05
123000006,6885294371819285821,122000006,6880545069198964502,2024-06-08T00:00:00.000,TASK7365,NONE,False,2,COMPLETED,0,2024-06-09T00:00:00.000,LOC3340,user5770@dxlg.com,107.72,9.54,99.1,NONE,TAX002,8.62,5.39,3000,300,2024-06-08T19:00:00.000,system@dxlg.com,STANDARD,CUST49129,dxlg-us,b2853ebd-5aeb-46fb-a90e-d6744c880c1c,PKG93522,107.72,1375ccd1-8762-472f-ba4d-d099bb4a2c21,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",06945d8f-5d78-483e-a913-c329bcd6b076,2025-12-05,2025-12-05
123000007,6558451555569773207,122000007,6540326728877585250,2025-09-18T00:00:00.000,TASK8866,COMPLETED,False,3,PROCESSED,0,2025-09-19T00:00:00.000,LOC3504,user4936@dxlg.com,240.46,10.34,221.22,NONE,TAX001,19.24,12.02,3000,300,2025-09-18T10:00:00.000,system@dxlg.com,STANDARD,CUST41289,dxlg-us,ad2939f2-7613-4228-9b5d-b9c937eb9575,PKG95486,240.46,7e049f11-9652-43c8-acc8-853661a549d0,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",c4c6d833-44d7-4bbb-b887-916f49517eed,2025-12-05,2025-12-05
123000008,6237189824743963973,122000008,6491728127583256141,2020-02-17T00:00:00.000,TASK2829,SUCCESS,False,3,PROCESSED,0,2020-02-22T00:00:00.000,LOC6573,user3511@dxlg.com,415.32,12.5,382.09,NONE,TAX001,33.23,20.77,1000,200,2020-02-17T05:00:00.000,system@dxlg.com,CREDIT,CUST31335,dxlg-us,9105cefe-77f0-41c4-a807-8b789c4b1b5c,PKG93388,415.32,900eb7f9-595c-4d2a-ae44-dcedf8f47a0f,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",35475a2a-5fff-4f06-977f-bc91dda8f4dd,2025-12-05,2025-12-05
123000009,6262252853975498743,122000009,6401024595484730665,2022-03-25T00:00:00.000,TASK2142,COMPLETED,False,1,PROCESSED,0,2022-03-30T00:00:00.000,LOC6310,user6109@dxlg.com,346.53,7.59,318.81,NONE,NONE,27.72,17.33,3000,100,2022-03-25T10:00:00.000,system@dxlg.com,DEBIT,CUST74449,dxlg-us,06e3fb8d-e9d1-4b00-a831-ee651c7e5c4a,PKG63662,346.53,6d777463-32e3-4ae2-995a-c12c7233930c,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",87cddcad-0ba1-4a12-9cf7-76dba05947e4,2025-12-05,2025-12-05
123000010,6077036389023101787,122000010,6318203444686413396,2025-06-13T00:00:00.000,TASK2234,NONE,False,2,COMPLETED,0,2025-06-14T00:00:00.000,LOC3103,user8142@dxlg.com,191.89,6.13,176.54,NONE,TAX001,15.35,9.59,2000,200,2025-06-13T22:00:00.000,system@dxlg.com,CREDIT,CUST81953,dxlg-us,d5a1829d-9c05-4d93-bf43-aff1d874a944,PKG15129,191.89,e65794dc-c357-47a6-94b4-8d0b0adb3254,"{""notes"": ""Standard invoice"", ""type"": ""retail""}",119271a4-4be5-42a9-8a6a-cd8c59a1e733,2025-12-05,2025-12-05
