orderid,taxcode,chargetotal,istaxincluded,isoverridden,originalchargeamount,isinformational,isprorated,fulfillmentgroupid,isorderdiscount,isreturncharge,isproratedatsamelevel,chargetypeid,chargedisplayname
122000000,Shipping,7.99,False,False,7.99,False,True,FG2614,False,False,False,Shipping,Shipping
122000001,Shipping,0.0,False,False,0.0,False,True,FG8284,False,False,False,Shipping,Shipping
122000002,Shipping,5.99,False,False,5.99,False,True,FG3037,False,False,False,Shipping,Shipping
122000003,Shipping,5.99,False,False,5.99,False,True,FG3729,False,False,False,Shipping,Shipping
122000004,Shipping,10.0,False,False,10.0,False,True,FG3196,False,False,False,Shipping,Shipping
122000005,Shipping,0.0,False,False,0.0,False,True,FG1037,False,False,False,Shipping,Shipping
122000006,Shipping,5.99,False,False,5.99,False,True,FG2471,False,False,False,Shipping,Shipping
122000007,Shipping,5.99,False,False,5.99,False,True,FG9510,False,False,False,Shipping,Shipping
122000008,Shipping,12.99,False,False,12.99,False,True,FG2495,False,False,False,Shipping,Shipping
122000009,Shipping,7.99,False,False,7.99,False,True,FG6577,False,False,False,Shipping,Shipping
122000010,Shipping,7.99,False,False,7.99,False,True,FG1947,False,False,False,Shipping,Shipping
122000011,Shipping,10.0,False,False,10.0,False,True,FG2567,False,False,False,Shipping,Shipping
122000012,Shipping,10.0,False,False,10.0,False,True,FG5640,False,False,False,Shipping,Shipping
122000013,Shipping,7.99,False,False,7.99,False,True,FG7960,False,False,False,Shipping,Shipping
122000014,Shipping,7.99,False,False,7.99,False,True,FG5025,False,False,False,Shipping,Shipping
122000015,Shipping,0.0,False,False,0.0,False,True,FG3705,False,False,False,Shipping,Shipping
122000016,Shipping,10.0,False,False,10.0,False,True,FG7054,False,False,False,Shipping,Shipping
122000017,Shipping,0.0,False,False,0.0,False,True,FG7400,False,False,False,Shipping,Shipping
122000018,Shipping,12.99,False,False,12.99,False,True,FG3556,False,False,False,Shipping,Shipping
122000019,Shipping,5.99,False,False,5.99,False,True,FG4329,False,False,False,Shipping,Shipping
122000020,Shipping,10.0,False,False,10.0,False,True,FG3412,False,False,False,Shipping,Shipping
122000021,Shipping,0.0,False,False,0.0,False,True,FG7443,False,False,False,Shipping,Shipping
122000022,Shipping,12.99,False,False,12.99,False,True,FG9905,False,False,False,Shipping,Shipping
122000023,Shipping,12.99,False,False,12.99,False,True,FG3960,False,False,False,Shipping,Shipping
122000024,Shipping,5.99,False,False,5.99,False,True,FG4431,False,False,False,Shipping,Shipping
122000025,Shipping,0.0,False,False,0.0,False,True,FG8012,False,False,False,Shipping,Shipping
122000026,Shipping,7.99,False,False,7.99,False,True,FG7009,False,False,False,Shipping,Shipping
122000027,Shipping,5.99,False,False,5.99,False,True,FG1909,False,False,False,Shipping,Shipping
122000028,Shipping,5.99,False,False,5.99,False,True,FG9395,False,False,False,Shipping,Shipping
122000029,Shipping,5.99,False,False,5.99,False,True,FG5151,False,False,False,Shipping,Shipping
122000030,Shipping,5.99,False,False,5.99,False,True,FG9872,False,False,False,Shipping,Shipping
122000031,Shipping,0.0,False,False,0.0,False,True,FG6159,False,False,False,Shipping,Shipping
122000032,Shipping,0.0,False,False,0.0,False,True,FG5962,False,False,False,Shipping,Shipping
122000033,Shipping,12.99,False,False,12.99,False,True,FG6512,False,False,False,Shipping,Shipping
122000034,Shipping,5.99,False,False,5.99,False,True,FG1276,False,False,False,Shipping,Shipping
122000035,Shipping,7.99,False,False,7.99,False,True,FG2686,False,False,False,Shipping,Shipping
122000036,Shipping,12.99,False,False,12.99,False,True,FG4555,False,False,False,Shipping,Shipping
122000037,Shipping,0.0,False,False,0.0,False,True,FG1904,False,False,False,Shipping,Shipping
122000038,Shipping,10.0,False,False,10.0,False,True,FG5372,False,False,False,Shipping,Shipping
122000039,Shipping,0.0,False,False,0.0,False,True,FG2107,False,False,False,Shipping,Shipping
122000040,Shipping,7.99,False,False,7.99,False,True,FG7349,False,False,False,Shipping,Shipping
122000041,Shipping,0.0,False,False,0.0,False,True,FG4195,False,False,False,Shipping,Shipping
122000042,Shipping,0.0,False,False,0.0,False,True,FG1988,False,False,False,Shipping,Shipping
122000043,Shipping,10.0,False,False,10.0,False,True,FG1904,False,False,False,Shipping,Shipping
122000044,Shipping,10.0,False,False,10.0,False,True,FG9139,False,False,False,Shipping,Shipping
122000045,Shipping,10.0,False,False,10.0,False,True,FG1616,False,False,False,Shipping,Shipping
122000046,Shipping,7.99,False,False,7.99,False,True,FG6146,False,False,False,Shipping,Shipping
122000047,Shipping,10.0,False,False,10.0,False,True,FG9738,False,False,False,Shipping,Shipping
122000048,Shipping,0.0,False,False,0.0,False,True,FG6896,False,False,False,Shipping,Shipping
122000049,Shipping,7.99,False,False,7.99,False,True,FG8767,False,False,False,Shipping,Shipping
122000050,Shipping,7.99,False,False,7.99,False,True,FG1896,False,False,False,Shipping,Shipping
