orderlineid,orderid,itemid,cancelledtotaldiscounts,maxappeasementamount,orderlinesubtotal,orderlinetotal,quantity,refundprice,returnlinetotalwithoutfees,returnablelinetotal,returnablequantity,taxoverridevalue,taxableamount,totalcharges,totaldiscountonitem,totaldiscounts,totaltaxes,unitprice,messageid,maxfulfillmentstatusid,minfulfillmentstatusid,fulfillmentstatus,isonhold,isreturn,isevenexchange,iscancelled,parentorderlineid,parentorderid,createdtimestamp,orderline_pk
1,122000000,800456,0.0,40.46,498.0,498.0,2,0.0,0.0,498.0,0,1.38,498.0,9.87,0.0,0.0,39.84,249.0,341751a5-b472-4b85-b6ca-ef38c1b8bf30,3000,3000,Fulfilled,True,False,False,False,NONE,NONE,2021-04-01T00:00:00.000,6286436496314485302
2,122000000,1222647,0.0,16.82,178.5,142.8,3,0.0,0.0,142.8,0,0.52,142.8,6.09,35.7,35.7,11.42,59.5,66691a01-68c6-44a0-b6a6-f6829028c13f,3000,3000,Fulfilled,False,False,False,False,NONE,NONE,2021-04-01T00:00:00.000,6977497319338024181
3,122000000,775376,0.0,43.2,294.0,294.0,3,0.0,0.0,294.0,0,3.08,294.0,13.97,0.0,0.0,23.52,98.0,ddccde3d-1fa8-4ba1-a74c-8757a4ac9d6b,3000,3000,Fulfilled,True,False,False,False,NONE,NONE,2021-04-01T00:00:00.000,6187810439824356127
1,122000001,800123,0.0,19.27,89.0,66.75,1,0.0,0.0,66.75,0,0.13,66.75,11.33,22.25,22.25,5.34,89.0,b05803fa-a3fe-42a9-b0e6-b3e08e15a95e,4000,4000,Cancelled,False,False,False,False,NONE,NONE,2025-08-31T00:00:00.000,6693032074933875871
1,122000002,1222483,0.0,39.28,79.0,79.0,1,0.0,0.0,79.0,0,1.58,79.0,13.06,0.0,0.0,6.32,79.0,1ec15dac-e891-48b9-b405-b3d1191e4cdf,2000,2000,Cancelled,True,False,True,False,NONE,NONE,2023-10-10T00:00:00.000,6592635402976350860
2,122000002,1222647,0.0,7.27,178.5,133.86,3,0.0,0.0,133.86,0,2.12,133.86,9.17,44.64,44.64,10.71,59.5,0589ccf2-fc98-478c-b998-687039079280,2000,2000,Cancelled,True,False,False,False,NONE,NONE,2023-10-10T00:00:00.000,6839592004941549992
1,122000003,1222483,0.0,41.45,79.0,79.0,1,0.0,0.0,79.0,0,2.18,79.0,13.41,0.0,0.0,6.32,79.0,9ac17fd8-c498-44c1-99e8-797018787c8d,4000,4000,Cancelled,False,False,True,False,NONE,NONE,2023-04-15T00:00:00.000,6369491001899287525
2,122000003,900789,0.0,4.2,109.0,98.1,2,0.0,0.0,98.1,0,4.34,98.1,12.17,10.9,10.9,7.85,54.5,549eddb8-82c3-4808-bdf1-c2d27e7e591c,4000,4000,Cancelled,True,False,False,False,NONE,NONE,2023-04-15T00:00:00.000,6419662576359956490
1,122000004,800456,0.0,0.69,498.0,498.0,2,0.0,0.0,498.0,0,0.39,498.0,8.07,0.0,0.0,39.84,249.0,d3b1b211-b2a2-458e-b248-41d3b0aa0f80,3000,3000,Shipped,False,False,False,False,NONE,NONE,2024-02-03T00:00:00.000,6952756187447472488
1,122000005,1222483,31.6,49.96,158.0,126.4,2,126.4,126.4,126.4,2,1.85,126.4,13.93,31.6,31.6,10.11,79.0,2ebf9a5d-97dc-4be5-9b38-9a3f48c0b095,5000,5000,Pending,False,True,False,True,NONE,NONE,2023-01-10T00:00:00.000,6922577622464601999
2,122000005,1009608,12.38,37.97,49.5,37.12,1,37.12,37.12,37.12,1,1.4,37.12,14.79,12.38,12.38,2.97,49.5,4527426f-1bc6-463e-bef4-3a924dc017d1,5000,5000,Pending,False,True,False,True,NONE,NONE,2023-01-10T00:00:00.000,6087767424988003915
1,122000006,901234,0.0,44.63,119.97,119.97,3,0.0,0.0,119.97,0,3.4,119.97,13.27,0.0,0.0,9.6,39.99,278f5193-fb38-4b76-99b8-83780f16bac9,5000,5000,Fulfilled,True,False,False,False,NONE,NONE,2024-06-08T00:00:00.000,6395280903475001963
2,122000006,800456,0.0,49.27,249.0,186.75,1,0.0,0.0,186.75,0,3.34,186.75,9.23,62.25,62.25,14.94,249.0,77999df6-de73-4c67-8994-cdb2b31304bc,5000,5000,Fulfilled,True,False,False,False,87,NONE,2024-06-08T00:00:00.000,6901781620980241906
1,122000007,900789,0.0,3.65,109.0,81.76,2,0.0,0.0,81.76,0,3.69,81.76,7.57,27.24,27.24,6.54,54.5,e4c01e0a-6a57-4072-9a63-ffd4e3c26070,3000,3000,Shipped,True,False,False,False,NONE,NONE,2025-09-18T00:00:00.000,6847669841787868232
2,122000007,800123,0.0,34.94,89.0,89.0,1,0.0,0.0,89.0,0,2.68,89.0,14.69,0.0,0.0,7.12,89.0,162c61ab-4e00-434b-b3c1-3fd11f1aca31,3000,3000,Shipped,False,False,False,False,NONE,NONE,2025-09-18T00:00:00.000,6310637477240167275
3,122000007,800456,0.0,3.9,747.0,747.0,3,0.0,0.0,747.0,0,0.3,747.0,11.17,0.0,0.0,59.76,249.0,1f8864e6-79ed-48f5-b056-4caa2460509a,3000,3000,Shipped,False,False,False,False,NONE,NONE,2025-09-18T00:00:00.000,6889248193878525714
1,122000008,1222483,0.0,7.78,237.0,213.3,3,0.0,0.0,213.3,0,1.19,213.3,5.01,23.7,23.7,17.06,79.0,3bb1b8aa-7d1c-4a6c-9577-8a1a506afefd,3000,3000,Pending,True,False,False,False,NONE,NONE,2020-02-17T00:00:00.000,6880627432661881192
2,122000008,902345,0.0,44.6,149.98,149.98,2,0.0,0.0,149.98,0,3.79,149.98,10.47,0.0,0.0,12.0,74.99,f7c3722b-7218-4d19-b55d-cc1d906f0103,3000,3000,Pending,False,False,False,False,NONE,NONE,2020-02-17T00:00:00.000,6898848656176151583
3,122000008,1222483,0.0,17.75,79.0,67.15,1,0.0,0.0,67.15,0,4.62,67.15,14.56,11.85,11.85,5.37,79.0,a93d8453-637f-4021-a85e-9036e67e19f4,3000,3000,Pending,False,False,False,False,NONE,NONE,2020-02-17T00:00:00.000,6670803296069286697
4,122000008,1009608,0.0,37.95,49.5,49.5,1,0.0,0.0,49.5,0,3.17,49.5,12.64,0.0,0.0,3.96,49.5,800ec8d8-b77b-4e58-b08d-58dfbbba1860,3000,3000,Pending,True,False,True,False,NONE,NONE,2020-02-17T00:00:00.000,6381415132905038624
1,122000009,800123,0.0,46.97,267.0,267.0,3,0.0,0.0,267.0,0,3.62,267.0,8.83,0.0,0.0,21.36,89.0,3c5c3e93-a0e8-4b84-9e50-27ca473adc51,3000,3000,Cancelled,True,False,False,False,NONE,NONE,2022-03-25T00:00:00.000,6918484027826151689
