itemid,itembarcode,itembrand,itemcolordescription,itemdepartmentname,itemdepartmentnumber,itemdescription,itemseason,itemsize,itemstyle,itemtaxcode,originalunitprice,itemshortdescription
1009608,10096089166,DEERSTAGS,Khaki,Footwear,,Deer Stags Sailor Slip-Ons,Year Round,44W32L,M3303,A_CLTH_GEN,49.5,Deer Stags Sailor Slip-Ons
1009608,10096086866,DEERSTAGS,Black,Footwear,,Deer Stags Sailor Slip-Ons,Fall,3XL,M5405,A_CLTH_GEN,49.5,Deer Stags Sailor Slip-Ons
1009608,10096082396,DEERSTAGS,Navy,Footwear,,Deer Stags Sailor Slip-Ons,Year Round,XLT,M7779,A_CLTH_GEN,49.5,Deer Stags Sailor Slip-Ons
775376,7753769695,POLO,Charcoal,Dress Shirts,,Polo Ralph Lauren Dress Shirt,Year Round,110 W,M2421,A_CLTH_GEN,98.0,Polo Ralph Lauren Dress Shirt
775376,7753762807,POLO,Brown,Dress Shirts,,Polo Ralph Lauren Dress Shirt,Winter,2XL,M1780,A_CLTH_GEN,98.0,Polo Ralph Lauren Dress Shirt
775376,7753768888,POLO,Charcoal,Dress Shirts,,Polo Ralph Lauren Dress Shirt,Winter,110 W,M5629,A_CLTH_GEN,98.0,Polo Ralph Lauren Dress Shirt
775376,7753762174,POLO,White,Dress Shirts,,Polo Ralph Lauren Dress Shirt,Summer,44W32L,M5787,A_CLTH_GEN,98.0,Polo Ralph Lauren Dress Shirt
676596,6765967026,LEVIS,Navy,Denim,,Levi's 501 Original Fit Jeans,Winter,2XL,M2093,A_CLTH_GEN,69.5,Levi's 501 Original Fit Jeans
676596,6765965500,LEVIS,White,Denim,,Levi's 501 Original Fit Jeans,Winter,4XL,M1029,A_CLTH_GEN,69.5,Levi's 501 Original Fit Jeans
676596,6765963322,LEVIS,White,Denim,,Levi's 501 Original Fit Jeans,Fall,3XL,M5693,A_CLTH_GEN,69.5,Levi's 501 Original Fit Jeans
676596,6765967929,LEVIS,Black,Denim,,Levi's 501 Original Fit Jeans,Year Round,110 W,M4743,A_CLTH_GEN,69.5,Levi's 501 Original Fit Jeans
676596,6765969241,LEVIS,Charcoal,Denim,,Levi's 501 Original Fit Jeans,Spring,2XL,M7283,A_CLTH_GEN,69.5,Levi's 501 Original Fit Jeans
1222483,12224831338,NAUTICA,Burgundy,Casual Pants,,Nautica Casual Pants,Fall,40W30L,M4676,A_CLTH_GEN,79.0,Nautica Casual Pants
1222483,12224835230,NAUTICA,Navy,Casual Pants,,Nautica Casual Pants,Year Round,LT,M6661,A_CLTH_GEN,79.0,Nautica Casual Pants
1222483,12224838640,NAUTICA,Olive,Casual Pants,,Nautica Casual Pants,Fall,XL,M8234,A_CLTH_GEN,79.0,Nautica Casual Pants
1222483,12224834717,NAUTICA,White,Casual Pants,,Nautica Casual Pants,Winter,110 W,M6039,A_CLTH_GEN,79.0,Nautica Casual Pants
1222483,12224839433,NAUTICA,Black,Casual Pants,,Nautica Casual Pants,Summer,3XLT,M6601,A_CLTH_GEN,79.0,Nautica Casual Pants
1222483,12224839092,NAUTICA,Khaki,Casual Pants,,Nautica Casual Pants,Winter,38W30L,M3238,A_CLTH_GEN,79.0,Nautica Casual Pants
1222483,12224835091,NAUTICA,Blue,Casual Pants,,Nautica Casual Pants,Summer,130 W,M4000,A_CLTH_GEN,79.0,Nautica Casual Pants
1222483,12224837016,NAUTICA,Blue,Casual Pants,,Nautica Casual Pants,Fall,130 W,M4459,A_CLTH_GEN,79.0,Nautica Casual Pants
1222647,12226478789,TOMMY,White,Casual Shirts,,Tommy Hilfiger Polo Shirt,Spring,50W36L,M4082,A_CLTH_GEN,59.5,Tommy Hilfiger Polo Shirt
1222647,12226472724,TOMMY,Khaki,Casual Shirts,,Tommy Hilfiger Polo Shirt,Winter,6XL,M4554,A_CLTH_GEN,59.5,Tommy Hilfiger Polo Shirt
1222647,12226471503,TOMMY,Charcoal,Casual Shirts,,Tommy Hilfiger Polo Shirt,Winter,42W32L,M1817,A_CLTH_GEN,59.5,Tommy Hilfiger Polo Shirt
800123,8001233380,CALVIN,Blue,Dress Pants,,Calvin Klein Dress Pants,Summer,46W34L,M2149,A_CLTH_GEN,89.0,Calvin Klein Dress Pants
800123,8001233064,CALVIN,White,Dress Pants,,Calvin Klein Dress Pants,Spring,40W30L,M6513,A_CLTH_GEN,89.0,Calvin Klein Dress Pants
800123,8001239770,CALVIN,Khaki,Dress Pants,,Calvin Klein Dress Pants,Year Round,4XL,M6247,A_CLTH_GEN,89.0,Calvin Klein Dress Pants
800123,8001236951,CALVIN,White,Dress Pants,,Calvin Klein Dress Pants,Winter,5XL,M1086,A_CLTH_GEN,89.0,Calvin Klein Dress Pants
800123,8001237286,CALVIN,Khaki,Dress Pants,,Calvin Klein Dress Pants,Year Round,2XL,M8804,A_CLTH_GEN,89.0,Calvin Klein Dress Pants
800123,8001234649,CALVIN,Burgundy,Dress Pants,,Calvin Klein Dress Pants,Winter,5XL,M2139,A_CLTH_GEN,89.0,Calvin Klein Dress Pants
800456,8004563786,BROOKS,Blue,Outerwear,,Brooks Brothers Sport Coat,Winter,6XL,M9452,A_CLTH_GEN,249.0,Brooks Brothers Sport Coat
800456,8004566908,BROOKS,Black,Outerwear,,Brooks Brothers Sport Coat,Summer,120 W,M5341,A_CLTH_GEN,249.0,Brooks Brothers Sport Coat
800456,8004561713,BROOKS,Black,Outerwear,,Brooks Brothers Sport Coat,Spring,3XLT,M7720,A_CLTH_GEN,249.0,Brooks Brothers Sport Coat
800456,8004568287,BROOKS,Black,Outerwear,,Brooks Brothers Sport Coat,Fall,3XLT,M4751,A_CLTH_GEN,249.0,Brooks Brothers Sport Coat
800456,8004565372,BROOKS,Khaki,Outerwear,,Brooks Brothers Sport Coat,Fall,44W32L,M1632,A_CLTH_GEN,249.0,Brooks Brothers Sport Coat
900789,9007896689,DOCKERS,Khaki,Casual Pants,,Dockers Khaki Pants,Year Round,42W32L,M8500,A_CLTH_GEN,54.5,Dockers Khaki Pants
900789,9007899755,DOCKERS,Black,Casual Pants,,Dockers Khaki Pants,Year Round,XLT,M4945,A_CLTH_GEN,54.5,Dockers Khaki Pants
900789,9007893939,DOCKERS,Olive,Casual Pants,,Dockers Khaki Pants,Summer,3XL,M1908,A_CLTH_GEN,54.5,Dockers Khaki Pants
901234,9012342971,NIKE,Burgundy,Activewear,,Nike Athletic Shorts,Winter,130 W,M5137,A_CLTH_GEN,39.99,Nike Athletic Shorts
901234,9012341967,NIKE,Black,Activewear,,Nike Athletic Shorts,Year Round,2XLT,M7487,A_CLTH_GEN,39.99,Nike Athletic Shorts
901234,9012349594,NIKE,Burgundy,Activewear,,Nike Athletic Shorts,Summer,40W30L,M4615,A_CLTH_GEN,39.99,Nike Athletic Shorts
902345,9023455096,ADIDAS,Burgundy,Activewear,,Adidas Track Jacket,Year Round,110 W,M9077,A_CLTH_GEN,74.99,Adidas Track Jacket
902345,9023457317,ADIDAS,Grey,Activewear,,Adidas Track Jacket,Summer,XL,M6219,A_CLTH_GEN,74.99,Adidas Track Jacket
902345,9023453245,ADIDAS,Brown,Activewear,,Adidas Track Jacket,Year Round,38W30L,M3999,A_CLTH_GEN,74.99,Adidas Track Jacket
902345,9023457985,ADIDAS,Olive,Activewear,,Adidas Track Jacket,Year Round,4XL,M4886,A_CLTH_GEN,74.99,Adidas Track Jacket
902345,9023451752,ADIDAS,Charcoal,Activewear,,Adidas Track Jacket,Year Round,40W30L,M7855,A_CLTH_GEN,74.99,Adidas Track Jacket
902345,9023455959,ADIDAS,Charcoal,Activewear,,Adidas Track Jacket,Winter,38W30L,M8036,A_CLTH_GEN,74.99,Adidas Track Jacket
