quantitydetail_pk,quantitydetailid,orderid,orderline_pk,statusid,updatedtimestamp,createdby,createdtimestamp,quantity,itemid,orgid,updatedby,uom,contextid,messageid,load_date,update_date
6638983893911036148,6695896458226669719,122000000,6270553792034826777,2000,2025-12-05T12:08:10.658,Ability_API@dxlg.com,2025-12-05T12:08:10.658,2,800456,dxlg-us,Ability_API@dxlg.com,EA,95da096e-6cb0-413f-a184-3b419e2446ba,d3c1279a-791e-42d8-9500-9a7b3890a41c,05:08.10,05:08.10
6787840377243289036,6365601268144808597,122000000,6603532189347462295,2000,2025-12-05T12:08:10.658,Ability_API@dxlg.com,2025-12-05T12:08:10.658,3,1222647,dxlg-us,Ability_API@dxlg.com,EA,5360dabb-9e6a-4db0-a9d4-07940e736512,6d5f2063-0b75-42a1-9258-ee67fd04798a,05:08.10,05:08.10
6611851964122068046,6135521659491067934,122000000,6030823428167600064,3600,2025-12-05T12:08:10.658,Ability_API@dxlg.com,2025-12-05T12:08:10.658,3,775376,dxlg-us,Ability_API@dxlg.com,EA,05628918-c551-4618-b289-4831e2b07e96,13fb7284-ed91-4e2a-802e-150f120d0725,05:08.10,05:08.10
6321671625013735943,6686649751426064137,122000001,6046828169301038960,2000,2025-12-05T12:08:10.658,Ability_API@dxlg.com,2025-12-05T12:08:10.658,1,800123,dxlg-us,Ability_API@dxlg.com,EA,fe63f211-27d3-469b-ae22-a6f0ede9172c,2bfb1927-5d19-4e1b-98dd-86b8bfea0d6c,05:08.10,05:08.10
6694737151200972191,6228673046742761329,122000002,6594377042482935354,3000,2025-12-05T12:08:10.659,Ability_API@dxlg.com,2025-12-05T12:08:10.659,1,1222483,dxlg-us,Ability_API@dxlg.com,EA,bedbbbb1-1ff2-40f8-a16f-b4c960801a38,d588c277-cd46-472c-a123-9780c56095e2,05:08.10,05:08.10
6179906485727900089,6035716392280561336,122000002,6363127883406875914,2000,2025-12-05T12:08:10.659,Ability_API@dxlg.com,2025-12-05T12:08:10.659,3,1222647,dxlg-us,Ability_API@dxlg.com,EA,524f8442-c95a-44a5-8089-fff287038ead,67178344-3c7a-4089-8d67-b41486faae66,05:08.10,05:08.10
6556371825651030641,6775853717145269768,122000003,6874742778546924922,3600,2025-12-05T12:08:10.659,Ability_API@dxlg.com,2025-12-05T12:08:10.659,1,1222483,dxlg-us,Ability_API@dxlg.com,EA,b7cc2bec-2e44-414a-895b-f1a5c70e8b80,c537f812-6c44-496a-8fbb-749024b78625,05:08.10,05:08.10
6180542550576210327,6502965289902982264,122000003,6905881682742380751,2000,2025-12-05T12:08:10.659,Ability_API@dxlg.com,2025-12-05T12:08:10.659,2,900789,dxlg-us,Ability_API@dxlg.com,EA,ec6ab543-cd95-4dfc-bd7d-290cb5fc49c0,b9db3183-1b86-4b13-83cf-9a95ac8797d0,05:08.10,05:08.10
6760454907548695863,6384776948103174592,122000004,6331159536487476953,2000,2025-12-05T12:08:10.659,Ability_API@dxlg.com,2025-12-05T12:08:10.659,2,800456,dxlg-us,Ability_API@dxlg.com,EA,5690c545-6ea1-4c95-8d3a-e3bf85cdb165,5facd3a7-7f10-4062-b875-043697bf1532,05:08.10,05:08.10
6851466445530630893,6270051653915013711,122000005,6917526938832824815,1000,2025-12-05T12:08:10.659,Ability_API@dxlg.com,2025-12-05T12:08:10.659,2,1222483,dxlg-us,Ability_API@dxlg.com,EA,d4ea5564-29ed-496d-89c8-cbb3c4fdb816,09a35dba-b108-43e7-b6e1-69479df842c4,05:08.10,05:08.10
