reward_transaction_id,line_no,class_code,style_id,quantity,net_retail,markdown_percent,coupon_code,regular_points,bonus_points,net_retail_central,header_bonus_points,tender_bonus_points,return_flag,original_reward_tran_id,original_reward_line_no,returned_quantity,exchange_for_line_no
58488560,1,399873221,287378,2,174.64,20,SAVE10,174,10,174.64,0,0,0,80676058,NONE,0,NONE
58488560,2,114192015,506731,2,185.53,0,SAVE10,185,0,185.53,0,0,0,NONE,NONE,0,NONE
58483536,1,103476670,813250,2,109.43,15,WELCOME,109,0,109.43,0,0,0,NONE,NONE,1,NONE
58490228,1,367916630,716889,1,56.09,0,SPRING25,56,10,56.09,0,0,0,NONE,NONE,1,NONE
58490228,2,471926352,311919,1,51.17,0,SPRING25,51,0,51.17,0,0,0,NONE,NONE,1,NONE
58490228,3,679411318,508494,2,87.02,25,WELCOME,87,0,87.02,0,0,0,NONE,NONE,0,NONE
58477923,1,831434277,756027,1,138.92,10,SPRING25,138,20,138.92,0,0,0,82254312,NONE,1,NONE
58477923,2,957118087,289006,1,137.76,20,SPRING25,137,10,137.76,0,0,0,NONE,4,0,NONE
58483031,1,237809563,529075,2,150.28,20,SPRING25,150,0,150.28,0,0,0,NONE,NONE,0,2
58483767,1,779409569,679382,1,175.83,15,WELCOME,175,20,175.83,0,0,0,NONE,5,0,4
58480078,1,919074969,653602,2,136.2,0,WELCOME,136,50,136.2,0,0,0,NONE,NONE,0,NONE
58480842,1,583008829,134254,2,161.35,20,LOYALTY,161,10,161.35,0,0,0,NONE,NONE,1,NONE
58480959,1,837988989,695129,1,74.15,20,SPRING25,74,10,74.15,0,0,0,NONE,NONE,0,NONE
58479311,1,469442057,209189,2,112.3,20,SAVE10,112,20,112.3,0,0,0,NONE,4,1,NONE
58477603,1,781178445,725417,1,114.03,0,NONE,114,20,114.03,0,0,0,87340166,NONE,0,NONE
58481412,1,193030353,594163,2,177.54,0,NONE,177,0,177.54,0,0,0,NONE,NONE,0,NONE
58481412,2,272022725,934961,2,147.26,25,SPRING25,147,20,147.26,0,0,0,NONE,NONE,0,NONE
58489868,1,468210694,874672,1,174.71,10,WELCOME,174,20,174.71,0,0,0,NONE,NONE,0,NONE
58489868,2,379105727,855972,2,72.89,25,SPRING25,72,10,72.89,0,0,0,NONE,NONE,1,NONE
58489868,3,673550240,300206,2,83.18,15,NONE,83,0,83.18,0,0,0,NONE,NONE,0,4
58483692,1,886748428,768951,2,68.38,25,SAVE20,68,0,68.38,0,0,0,83476427,3,1,NONE
58483692,2,177069513,783815,1,80.19,25,NONE,80,0,80.19,0,0,0,NONE,NONE,0,NONE
58483766,1,215439748,869472,2,158.43,10,SAVE20,158,20,158.43,0,0,0,84786439,NONE,0,8
58483766,2,267953893,275984,2,86.08,0,SPRING25,86,20,86.08,0,0,0,NONE,3,1,NONE
58484039,1,513347402,212660,1,163.74,15,SAVE20,163,50,163.74,0,0,0,NONE,NONE,1,NONE
58484039,2,337447298,310445,2,160.49,20,SAVE20,160,50,160.49,0,0,0,83951640,NONE,0,NONE
58484039,3,541322120,397640,1,186.95,0,SAVE20,186,10,186.95,0,0,0,NONE,NONE,1,NONE
58484460,1,247013314,352281,2,197.79,0,SPRING25,197,0,197.79,0,0,0,89418131,NONE,0,NONE
58484460,2,203985550,691322,1,142.34,20,WELCOME,142,0,142.34,0,0,0,NONE,NONE,1,NONE
58484460,3,666691642,604954,1,154.53,25,LOYALTY,154,0,154.53,0,0,0,NONE,NONE,1,NONE
58488180,1,127147392,527570,1,67.32,15,WELCOME,67,20,67.32,0,0,0,87860038,NONE,0,NONE
58488180,2,472745243,697716,2,177.78,20,SAVE20,177,20,177.78,0,0,0,NONE,NONE,0,2
58489726,1,446539364,356395,2,153.3,25,WELCOME,153,0,153.3,0,0,0,NONE,NONE,0,NONE
58489726,2,256169026,104607,1,170.91,25,SAVE20,170,50,170.91,0,0,0,NONE,NONE,1,NONE
58482365,1,350198503,377508,2,108.43,0,SAVE20,108,50,108.43,0,0,0,NONE,NONE,0,7
58482365,2,278634331,401439,1,98.29,0,SPRING25,98,10,98.29,0,0,0,NONE,3,0,NONE
58482365,3,251009813,890285,1,118.07,0,SPRING25,118,50,118.07,0,0,0,88792891,NONE,0,NONE
58479373,1,330081177,852720,1,164.93,25,LOYALTY,164,0,164.93,0,0,0,NONE,NONE,0,NONE
58479373,2,300371915,672996,2,151.47,10,SAVE10,151,0,151.47,0,0,0,NONE,NONE,0,NONE
58484101,1,202519577,201803,2,155.33,25,NONE,155,50,155.33,0,0,0,NONE,NONE,0,NONE
58478950,1,827700935,476927,2,119.88,25,SAVE10,119,0,119.88,0,0,0,NONE,NONE,1,NONE
58486052,1,360192123,570852,1,92.99,0,SAVE20,92,0,92.99,0,0,0,NONE,NONE,0,NONE
58477230,1,154911271,695492,1,182.24,15,SAVE20,182,10,182.24,0,0,0,NONE,NONE,0,NONE
58478856,1,814276032,468364,2,198.77,25,WELCOME,198,20,198.77,0,0,0,NONE,4,0,NONE
58481036,1,680709528,811982,1,166.08,10,SPRING25,166,10,166.08,0,0,0,88444680,NONE,0,NONE
58481036,2,845818163,162638,1,91.25,10,WELCOME,91,0,91.25,0,0,0,NONE,NONE,1,NONE
58483881,1,607279642,139647,2,195.48,0,SAVE20,195,0,195.48,0,0,0,NONE,NONE,1,NONE
58483881,2,980747291,275367,1,115.54,15,SAVE10,115,10,115.54,0,0,0,NONE,NONE,1,NONE
58483881,3,556457336,601721,2,50.15,25,WELCOME,50,0,50.15,0,0,0,NONE,NONE,0,NONE
58484887,1,833166756,659130,1,153.69,20,WELCOME,153,0,153.69,0,0,0,NONE,NONE,1,NONE
58484887,2,376192075,586006,1,106.84,15,LOYALTY,106,20,106.84,0,0,0,NONE,4,0,NONE
58488870,1,808795006,188096,2,81.75,15,LOYALTY,81,0,81.75,0,0,0,NONE,NONE,0,NONE
58488870,2,620392032,766349,2,127.23,10,NONE,127,20,127.23,0,0,0,NONE,NONE,0,NONE
58478100,1,729554021,519189,1,87.08,10,SAVE20,87,0,87.08,0,0,0,NONE,NONE,0,NONE
58478100,2,314185984,355306,2,154.06,15,SPRING25,154,0,154.06,0,0,0,84786643,NONE,0,NONE
58478100,3,396584274,751779,1,171.79,10,WELCOME,171,50,171.79,0,0,0,NONE,NONE,0,2
58479909,1,752519483,270066,1,145.37,10,SAVE20,145,0,145.37,0,0,0,85953455,NONE,0,9
58480432,1,199461967,812876,1,161.25,0,SPRING25,161,0,161.25,0,0,0,NONE,1,0,NONE
58480432,2,174644372,126740,1,161.42,0,NONE,161,0,161.42,0,0,0,NONE,NONE,0,NONE
58485890,1,403326663,448838,2,85.71,15,WELCOME,85,0,85.71,0,0,0,NONE,NONE,0,NONE
58487410,1,392303050,353679,1,78.21,15,LOYALTY,78,0,78.21,0,0,0,NONE,NONE,0,NONE
58487410,2,238667548,121549,1,164.33,15,NONE,164,20,164.33,0,0,0,NONE,3,1,NONE
58485858,1,964001103,470135,2,66.74,25,WELCOME,66,0,66.74,0,0,0,NONE,NONE,1,NONE
58485858,2,923520313,877496,1,174.0,15,SAVE10,174,50,174.0,0,0,0,84479498,NONE,0,NONE
58477825,1,565045566,478386,1,178.54,20,SAVE20,178,0,178.54,0,0,0,85349997,NONE,0,NONE
58477825,2,431225901,188287,2,110.66,15,LOYALTY,110,20,110.66,0,0,0,NONE,NONE,0,NONE
58477825,3,626269363,659778,2,164.34,15,SAVE10,164,20,164.34,0,0,0,NONE,NONE,1,NONE
58478654,1,292175608,979392,1,71.44,10,NONE,71,0,71.44,0,0,0,80327475,5,0,NONE
58478654,2,221173454,292052,2,65.88,0,SAVE10,65,20,65.88,0,0,0,NONE,NONE,0,NONE
