inc_id,scan_id,bmctotal,bodyfat,fitness,leanbodymass,leanmassarms,leanmasslegs,shoulderwidth,visceraladiposetissue,weight,neck,chest,underbust,overarm,bicepleft,bicepright,forearmleft,forearmright,wristleft,wristright,stomach,seat,thighleft,thighright,calfleft,calfright,waist,bodysurfacearea,pantwaist,backneck2waist,sleeveleft,sleeveright,acrossshoulder,crotchlength,inseam,chestcb,hipscb,outseamleft,outseamright,process_date,load_filename,load_timestamp,version,year,month
1,9dc847e9-d0d2-4baa-8236-7c08dbcf081e,4593.22,58.37,9.75,186.31,11022.53,26569.69,19.13,2560.3,153.31,17.41,53.6,49.53,55.93,16.19,18.75,12.26,12.75,9.72,8.13,48.01,66.31,34.63,35.79,20.49,18.34,49.36,3837.41,57.09,18.03,35.73,34.02,20.26,33.65,30.16,55.91,54.26,41.92,37.84,12-03-2025,scanId-9dc847e9-d0d2-4baa-8236-7c08dbcf081e_2025_03_11_00_00_00.json-app-measures-version-5.0.0,36:14.9,5.0.0,2025,3
2,f8374730-45ab-4d57-969f-a83892673826,4111.33,33.66,9.65,212.46,9524.56,27673.79,21.83,3524.77,155.13,21.93,65.69,50.84,56.01,19.27,19.88,14.85,15.9,8.32,7.07,58.78,65.49,27.24,28.28,16.88,20.16,43.73,3560.01,49.0,20.83,35.0,36.42,22.71,33.57,30.99,64.72,53.7,36.81,39.36,09-07-2024,scanId-f8374730-45ab-4d57-969f-a83892673826_2024_07_08_00_00_00.json-app-measures-version-5.0.0,46:23.2,5.0.0,2024,7
3,25b2e41c-5dc8-4b0f-a55f-444885dde512,4428.36,55.14,13.75,200.51,8862.48,20196.97,19.61,1729.28,166.92,20.33,69.06,53.48,68.97,19.81,14.73,15.99,15.55,7.2,7.39,48.06,59.76,32.68,25.05,20.14,16.29,62.47,4225.5,64.22,19.56,34.07,34.67,22.82,38.11,32.09,52.26,58.57,37.17,38.61,14-07-2025,scanId-25b2e41c-5dc8-4b0f-a55f-444885dde512_2025_07_13_00_00_00.json-app-measures-version-5.0.0,18:14.2,5.0.0,2025,7
4,fda7f96d-32a0-40bb-9b0c-b392b60e20bb,3849.28,45.79,7.15,233.91,11806.6,25496.57,21.65,2940.51,146.06,20.25,57.68,67.72,60.78,17.44,14.75,13.34,13.17,8.73,8.13,50.89,48.78,27.88,29.31,18.32,16.64,55.89,4134.34,52.46,20.13,35.45,33.01,22.47,41.14,33.16,51.51,50.45,37.18,39.59,12-06-2024,scanId-fda7f96d-32a0-40bb-9b0c-b392b60e20bb_2024_06_11_00_00_00.json-app-measures-version-5.0.0,40:23.3,5.0.0,2024,6
5,16921890-29cf-4fe6-89d5-280fa76b6e37,4146.02,25.68,7.83,163.5,8139.79,32085.35,21.08,1675.71,106.59,21.6,59.87,48.07,63.86,19.74,20.83,12.95,12.82,8.88,7.85,56.93,53.56,26.79,31.13,21.67,21.19,58.01,4416.26,62.21,19.59,34.9,36.31,22.46,34.47,34.04,60.52,63.11,41.03,36.61,12-07-2024,scanId-16921890-29cf-4fe6-89d5-280fa76b6e37_2024_07_11_00_00_00.json-app-measures-version-5.0.0,18:35.7,5.0.0,2024,7
6,f2aceae3-bb3d-4171-a3af-be87746bcff6,4309.19,52.15,8.7,236.51,9752.67,26855.59,23.76,2222.8,105.69,17.5,48.45,66.56,64.27,16.48,17.14,12.85,13.58,9.91,9.27,66.93,66.97,29.79,30.07,20.11,20.9,54.32,3593.09,52.57,20.77,34.15,33.61,22.66,44.29,33.03,48.87,67.12,40.33,38.21,25-05-2025,scanId-f2aceae3-bb3d-4171-a3af-be87746bcff6_2025_05_24_00_00_00.json-app-measures-version-5.0.0,17:52.4,5.0.0,2025,5
7,121ab81f-fd63-4a77-91e5-1d85d209a16b,4213.43,55.71,13.09,165.67,14206.56,33200.42,23.32,3237.06,176.45,19.49,60.07,58.02,66.0,14.37,18.03,13.09,13.25,9.14,9.84,66.05,49.41,26.13,30.16,18.48,20.18,46.26,4285.09,50.99,20.61,34.01,33.31,20.28,34.87,28.02,61.54,49.29,38.96,36.34,11-10-2024,scanId-121ab81f-fd63-4a77-91e5-1d85d209a16b_2024_10_10_00_00_00.json-app-measures-version-5.0.0,19:19.2,5.0.0,2024,10
8,3dceca98-bea5-4a29-bb6d-f66183d96878,4166.91,56.33,9.0,155.17,14761.71,29683.66,23.61,1878.37,170.1,17.75,69.06,52.85,68.76,19.78,18.07,15.05,13.72,7.78,7.04,46.62,48.63,31.5,34.84,18.14,18.61,51.03,4307.46,52.65,20.53,36.78,36.73,21.63,40.64,28.98,51.58,64.76,36.05,41.22,13-10-2025,scanId-3dceca98-bea5-4a29-bb6d-f66183d96878_2025_10_12_00_00_00.json-app-measures-version-5.0.0,26:10.7,5.0.0,2025,10
9,723ea268-e462-44c8-9a37-1c49e047bddd,4129.07,36.22,8.17,243.63,8340.47,29961.37,19.12,3495.51,107.95,18.67,61.8,59.51,61.55,15.11,18.63,15.43,13.9,9.71,8.82,50.37,53.8,32.19,26.94,17.0,19.35,48.52,4401.87,47.37,20.75,35.18,33.05,22.98,32.81,31.17,58.71,66.69,40.14,41.72,22-10-2024,scanId-723ea268-e462-44c8-9a37-1c49e047bddd_2024_10_21_00_00_00.json-app-measures-version-5.0.0,32:29.4,5.0.0,2024,10
10,d203827c-fe04-40c6-91fe-e08a28592c32,4318.26,43.28,10.88,174.27,9476.65,30278.43,24.06,3320.49,156.04,21.62,52.2,60.18,68.94,17.49,18.83,12.53,14.23,7.17,7.65,57.68,63.85,34.55,31.08,19.18,20.7,48.54,4113.32,68.99,18.37,33.79,33.46,22.61,34.85,29.87,52.23,48.24,41.5,36.31,19-01-2024,scanId-d203827c-fe04-40c6-91fe-e08a28592c32_2024_01_18_00_00_00.json-app-measures-version-5.0.0,43:26.2,5.0.0,2024,1
11,02568f50-f70e-404c-bad9-a5a9d118b369,4121.45,29.91,13.41,180.47,8181.05,25458.17,24.15,3320.57,140.16,21.56,64.49,61.04,68.99,17.87,18.31,12.94,15.87,7.63,9.04,57.17,61.71,27.53,33.2,16.35,21.0,56.29,4112.53,65.61,20.34,35.12,35.76,22.27,38.55,30.27,59.38,46.27,41.67,38.01,08-09-2024,scanId-02568f50-f70e-404c-bad9-a5a9d118b369_2024_09_07_00_00_00.json-app-measures-version-5.0.0,31:10.8,5.0.0,2024,9
12,d9aac055-59c2-4bda-bdb1-7b10d959cd5c,4024.99,39.37,7.74,180.1,13919.56,33178.81,21.78,1630.79,137.44,19.49,56.61,56.73,57.0,17.67,14.42,15.34,14.12,8.88,9.91,68.17,58.52,35.69,26.2,16.85,17.75,58.37,3942.92,49.58,20.54,34.82,36.09,22.29,35.11,28.15,53.59,55.86,36.24,37.46,24-08-2025,scanId-d9aac055-59c2-4bda-bdb1-7b10d959cd5c_2025_08_23_00_00_00.json-app-measures-version-5.0.0,32:40.4,5.0.0,2025,8
13,b1b929ca-e2ee-424f-8759-d3abc22a6728,3513.25,59.65,9.3,151.09,9892.49,21627.0,24.38,3343.41,154.22,20.57,58.29,63.5,60.19,20.27,18.72,12.87,12.08,7.16,7.52,63.59,69.45,35.46,26.83,21.19,21.44,51.55,4020.33,45.87,20.26,34.0,33.51,20.3,34.87,33.58,59.18,59.56,41.47,36.41,21-05-2024,scanId-b1b929ca-e2ee-424f-8759-d3abc22a6728_2024_05_20_00_00_00.json-app-measures-version-5.0.0,38:55.3,5.0.0,2024,5
14,d5b4e6f1-c7c6-4f8f-aec5-cdbd47bed0ce,4107.23,55.28,13.81,151.45,13563.39,21197.18,23.52,2304.61,161.93,22.92,51.51,52.31,68.63,17.9,19.19,15.82,14.55,8.05,9.39,63.15,59.16,30.59,32.27,19.76,21.83,51.08,4229.78,52.04,19.45,34.18,36.37,22.28,43.67,33.12,65.77,50.67,40.12,36.4,21-10-2025,scanId-d5b4e6f1-c7c6-4f8f-aec5-cdbd47bed0ce_2025_10_20_00_00_00.json-app-measures-version-5.0.0,57:50.4,5.0.0,2025,10
