inc_id,scan_id,producttype,details,chest,height,inseamleft,inseamright,neck,outseamleft,outseamright,overarmcircumference,seatmeasurement,shirtwaist,sleeveleft,sleeveright,trouserwaist,load_filename,process_date,load_timestamp,version,brand,year,month,thighleft,wristleft,shoulderwidth,wristright,thighright,overarm,chestcb,bicepleft,hipscb,bicepright,waist,stomach
1,9dc847e9-d0d2-4baa-8236-7c08dbcf081e,Casual Pants,"Waist: 48 , Inseam: 33",54.4,77.39,32.61,32.62,19.47,41.92,43.75,53.57,55.09,50.66,33.71,34.62,47.49,scanId-9dc847e9-d0d2-4baa-8236-7c08dbcf081e-dxl-custom-measures-version-1.5.2_11_03_2025.json,12-03-2025,36:14.9,1.5.2,Calvin Klein,2025,3,24.01,7.41,19.62,7.82,25.96,54.31,42.95,13.32,51.98,14.89,47.07,55.42
2,9dc847e9-d0d2-4baa-8236-7c08dbcf081e,Denim,"Waist: 44 , Inseam: 33",53.14,75.56,33.12,32.99,17.83,41.93,45.46,59.87,46.18,56.57,33.89,35.64,44.38,scanId-9dc847e9-d0d2-4baa-8236-7c08dbcf081e-dxl-custom-measures-version-1.5.2_11_03_2025.json,12-03-2025,36:14.9,1.5.2,Brooks Brothers,2025,3,25.68,7.73,21.8,6.74,26.36,59.05,43.57,16.44,51.07,14.64,44.15,46.63
3,f8374730-45ab-4d57-969f-a83892673826,Dress Pants,"Waist: 46 , Inseam: 36",56.44,73.77,35.56,35.81,17.41,42.79,44.74,61.07,53.09,57.76,33.8,33.6,46.11,scanId-f8374730-45ab-4d57-969f-a83892673826-dxl-custom-measures-version-1.5.2_08_07_2024.json,09-07-2024,46:23.2,1.5.2,Polo Ralph Lauren,2024,7,25.48,7.52,20.95,7.5,26.24,53.63,43.95,13.32,45.73,16.32,45.15,57.81
4,f8374730-45ab-4d57-969f-a83892673826,Denim,"Waist: 38 , Inseam: 32",54.05,71.21,31.74,32.32,16.11,41.23,41.57,56.12,54.17,57.38,36.19,36.29,37.38,scanId-f8374730-45ab-4d57-969f-a83892673826-dxl-custom-measures-version-1.5.2_08_07_2024.json,09-07-2024,46:23.2,1.5.2,7 for All Man Kind,2024,7,27.09,8.15,18.74,7.78,24.64,52.85,50.82,13.72,50.13,14.34,37.52,49.67
5,25b2e41c-5dc8-4b0f-a55f-444885dde512,Shorts,"Waist: 38 , Inseam: 32",54.0,68.46,32.28,32.19,17.24,41.37,40.58,54.72,50.87,50.06,35.21,35.74,37.68,scanId-25b2e41c-5dc8-4b0f-a55f-444885dde512-dxl-custom-measures-version-1.5.2_13_07_2025.json,14-07-2025,18:14.2,1.5.2,Tommy Hilfiger,2025,7,27.28,7.29,21.93,7.94,28.31,52.56,45.86,16.69,48.08,13.68,37.46,55.45
6,fda7f96d-32a0-40bb-9b0c-b392b60e20bb,Dress Pants,"Waist: 46 , Inseam: 30",51.96,76.01,30.27,29.91,16.7,40.46,40.98,57.28,46.09,52.55,35.48,36.23,45.18,scanId-fda7f96d-32a0-40bb-9b0c-b392b60e20bb-dxl-custom-measures-version-1.5.2_11_06_2024.json,12-06-2024,40:23.3,1.5.2,Polo Ralph Lauren,2024,6,25.09,8.1,18.3,6.91,28.74,51.56,47.01,15.08,48.17,13.05,45.52,54.24
7,16921890-29cf-4fe6-89d5-280fa76b6e37,Dress Pants,"Waist: 42 , Inseam: 30",57.67,78.39,30.0,30.24,16.87,42.34,44.35,56.82,54.08,55.88,34.51,34.23,42.6,scanId-16921890-29cf-4fe6-89d5-280fa76b6e37-dxl-custom-measures-version-1.5.2_11_07_2024.json,12-07-2024,18:35.7,1.5.2,7 for All Man Kind,2024,7,25.63,7.74,20.52,8.13,29.77,57.04,45.68,13.41,47.97,13.86,41.53,54.01
8,16921890-29cf-4fe6-89d5-280fa76b6e37,Denim,"Waist: 54 , Inseam: 30",55.48,72.23,29.95,30.21,16.03,39.64,38.64,57.5,50.82,50.2,36.69,34.72,54.15,scanId-16921890-29cf-4fe6-89d5-280fa76b6e37-dxl-custom-measures-version-1.5.2_11_07_2024.json,12-07-2024,18:35.7,1.5.2,Polo Ralph Lauren,2024,7,24.84,8.31,20.57,7.92,29.8,54.97,51.75,13.38,51.25,14.44,53.05,53.37
9,f2aceae3-bb3d-4171-a3af-be87746bcff6,Casual Pants,"Waist: 40 , Inseam: 28",55.01,68.9,27.72,28.46,19.28,41.71,44.2,59.51,47.64,52.98,35.83,33.99,39.26,scanId-f2aceae3-bb3d-4171-a3af-be87746bcff6-dxl-custom-measures-version-1.5.2_24_05_2025.json,25-05-2025,17:52.4,1.5.2,7 for All Man Kind,2025,5,25.35,7.3,21.23,7.21,26.56,57.56,49.11,13.59,51.25,16.84,40.77,49.84
10,f2aceae3-bb3d-4171-a3af-be87746bcff6,Denim,"Waist: 56 , Inseam: 33",57.95,78.2,32.9,32.86,16.58,39.32,44.34,54.08,51.46,48.42,36.11,35.68,56.21,scanId-f2aceae3-bb3d-4171-a3af-be87746bcff6-dxl-custom-measures-version-1.5.2_24_05_2025.json,25-05-2025,17:52.4,1.5.2,Calvin Klein,2025,5,29.57,8.36,20.85,6.67,29.24,59.95,51.32,15.5,52.82,16.67,56.26,55.06
