transaction_id,sales_module_transaction_id,transaction_source,tender_type,store_no,customer_id,sales_associate_no,transaction_type,transaction_date,pos_transaction_no,register_no,segmentation_flag_a,segmentation_flag_b,segmentation_flag_c,segmentation_flag_d,segmentation_flag_e,segmentation_flag_f,segmentation_flag_g,segmentation_flag_h,customer_no_flag,total_net_retail,no_transaction_lines,reward_points_flag,total_net_retail_central,exchange_rate,currency_code,posted_date,transaction_time,tender_amount_total,tender_amount_total_central,no_tender_lines
58477061,0,1,AMEX,1,4520,21333,R,27-09-2019 00:00,92650,5,0,0,0,0,0,0,0,0,1,270.57,3,1,270.57,1,USD,28-09-2019 00:00,27-09-2019 00:00,270.57,270.57,1
58477062,0,1,AMEX,9451,3085,18982,S,12-01-2012 00:00,57408,10,0,0,0,0,0,0,0,0,1,320.36,3,1,320.36,1,USD,13-01-2012 00:00,12-01-2012 00:00,320.36,320.36,1
58477063,0,1,VISA,9422,4668,90302,S,11-07-2015 00:00,28664,6,0,0,0,0,0,0,0,0,1,359.16,2,1,359.16,1,USD,12-07-2015 00:00,11-07-2015 00:00,359.16,359.16,1
58477064,0,1,CASH,9451,140,82250,S,12-11-2020 00:00,47996,3,0,0,0,0,0,0,0,0,1,171.18,5,1,171.18,1,USD,13-11-2020 00:00,12-11-2020 00:00,171.18,171.18,1
58477065,0,1,DISC,9330,133,50859,S,07-02-2013 00:00,71036,3,0,0,0,0,0,0,0,0,1,303.4,1,1,303.4,1,USD,08-02-2013 00:00,07-02-2013 00:00,303.4,303.4,1
58477066,0,1,GIFT,2,2037,37327,S,09-04-2019 00:00,24313,8,0,0,0,0,0,0,0,0,1,364.95,1,1,364.95,1,USD,10-04-2019 00:00,09-04-2019 00:00,364.95,364.95,1
58477067,0,1,MAST,9451,3932,41974,S,10-02-2021 00:00,44124,5,0,0,0,0,0,0,0,0,1,342.0,5,1,342.0,1,USD,11-02-2021 00:00,10-02-2021 00:00,342.0,342.0,1
58477068,0,1,CASH,9451,512,33741,S,21-10-2025 00:00,61648,6,0,0,0,0,0,0,0,0,1,272.01,4,1,272.01,1,USD,22-10-2025 00:00,21-10-2025 00:00,272.01,272.01,1
58477069,0,1,CASH,1,4850,71119,S,24-11-2017 00:00,45998,7,0,0,0,0,0,0,0,0,1,434.98,1,1,434.98,1,USD,25-11-2017 00:00,24-11-2017 00:00,434.98,434.98,1
58477070,0,1,VISA,2,2416,82333,S,18-12-2014 00:00,35265,5,0,0,0,0,0,0,0,0,1,229.95,4,1,229.95,1,USD,19-12-2014 00:00,18-12-2014 00:00,229.95,229.95,1
58477071,0,1,GIFT,5011,4694,11585,S,13-04-2021 00:00,21365,9,0,0,0,0,0,0,0,0,1,295.86,2,1,295.86,1,USD,14-04-2021 00:00,13-04-2021 00:00,295.86,295.86,1
58477072,0,1,MAST,9451,4785,42188,S,22-05-2017 00:00,27647,1,0,0,0,0,0,0,0,0,1,239.54,1,1,239.54,1,USD,23-05-2017 00:00,22-05-2017 00:00,239.54,239.54,1
58477073,0,1,CASH,9588,208,27236,S,04-02-2014 00:00,71551,3,0,0,0,0,0,0,0,0,1,208.57,3,1,208.57,1,USD,05-02-2014 00:00,04-02-2014 00:00,208.57,208.57,1
58477074,0,1,CASH,2,2553,79888,S,03-01-2013 00:00,43035,3,0,0,0,0,0,0,0,0,1,371.45,1,1,371.45,1,USD,04-01-2013 00:00,03-01-2013 00:00,371.45,371.45,1
58477075,0,1,CASH,2,2624,16361,S,04-05-2025 00:00,27418,5,0,0,0,0,0,0,0,0,1,359.77,4,1,359.77,1,USD,05-05-2025 00:00,04-05-2025 00:00,359.77,359.77,1
58477076,0,1,MAST,9422,237,98056,S,30-04-2020 00:00,38614,4,0,0,0,0,0,0,0,0,1,257.21,5,1,257.21,1,USD,01-05-2020 00:00,30-04-2020 00:00,257.21,257.21,1
58477077,0,1,GIFT,9330,544,25320,S,28-10-2022 00:00,38303,1,0,0,0,0,0,0,0,0,1,222.98,1,1,222.98,1,USD,29-10-2022 00:00,28-10-2022 00:00,222.98,222.98,1
58477078,0,1,CHECK,9422,630,99184,R,09-03-2020 00:00,71290,6,0,0,0,0,0,0,0,0,1,194.86,1,1,194.86,1,USD,10-03-2020 00:00,09-03-2020 00:00,194.86,194.86,1
58477079,0,1,CASH,1,1846,94997,S,08-09-2025 00:00,82297,1,0,0,0,0,0,0,0,0,1,368.27,2,1,368.27,1,USD,09-09-2025 00:00,08-09-2025 00:00,368.27,368.27,1
58477080,0,1,CASH,1,2301,22844,S,11-08-2013 00:00,14559,8,0,0,0,0,0,0,0,0,1,286.85,3,1,286.85,1,USD,12-08-2013 00:00,11-08-2013 00:00,286.85,286.85,1
58477081,0,1,AMEX,9422,3943,81153,R,17-03-2021 00:00,94016,2,0,0,0,0,0,0,0,0,1,176.59,4,1,176.59,1,USD,18-03-2021 00:00,17-03-2021 00:00,176.59,176.59,1
58477082,0,1,CASH,1,4607,21712,S,08-02-2013 00:00,39289,9,0,0,0,0,0,0,0,0,1,320.22,1,1,320.22,1,USD,09-02-2013 00:00,08-02-2013 00:00,320.22,320.22,1
58477083,0,1,MAST,5011,4479,69720,S,14-07-2023 00:00,76416,9,0,0,0,0,0,0,0,0,1,209.04,3,1,209.04,1,USD,15-07-2023 00:00,14-07-2023 00:00,209.04,209.04,1
58477084,0,1,MAST,5011,3151,97152,R,05-06-2015 00:00,10780,6,0,0,0,0,0,0,0,0,1,74.16,2,1,74.16,1,USD,06-06-2015 00:00,05-06-2015 00:00,74.16,74.16,1
58477085,0,1,CHECK,2,4793,61421,R,12-02-2014 00:00,95005,1,0,0,0,0,0,0,0,0,1,188.21,2,1,188.21,1,USD,13-02-2014 00:00,12-02-2014 00:00,188.21,188.21,1
58477086,0,1,AMEX,2,3184,96135,S,05-04-2017 00:00,16304,3,0,0,0,0,0,0,0,0,1,406.4,5,1,406.4,1,USD,06-04-2017 00:00,05-04-2017 00:00,406.4,406.4,1
58477087,0,1,VISA,9451,102,51654,S,24-07-2013 00:00,96883,6,0,0,0,0,0,0,0,0,1,268.27,4,1,268.27,1,USD,25-07-2013 00:00,24-07-2013 00:00,268.27,268.27,1
58477088,0,1,VISA,9330,1433,86384,R,15-03-2017 00:00,92776,6,0,0,0,0,0,0,0,0,1,422.52,2,1,422.52,1,USD,16-03-2017 00:00,15-03-2017 00:00,422.52,422.52,1
58477089,0,1,CHECK,9451,336,76401,S,03-09-2020 00:00,37062,6,0,0,0,0,0,0,0,0,1,417.44,5,1,417.44,1,USD,04-09-2020 00:00,03-09-2020 00:00,417.44,417.44,1
58477090,0,1,GIFT,5011,4090,86933,S,27-05-2012 00:00,93545,8,0,0,0,0,0,0,0,0,1,385.34,4,1,385.34,1,USD,28-05-2012 00:00,27-05-2012 00:00,385.34,385.34,1
58477091,0,1,CASH,2,2095,11580,R,09-05-2018 00:00,34432,10,0,0,0,0,0,0,0,0,1,296.52,3,1,296.52,1,USD,10-05-2018 00:00,09-05-2018 00:00,296.52,296.52,1
58477092,0,1,MAST,9851,3649,94237,S,03-11-2024 00:00,72954,8,0,0,0,0,0,0,0,0,1,159.18,2,1,159.18,1,USD,04-11-2024 00:00,03-11-2024 00:00,159.18,159.18,1
58477093,0,1,AMEX,1,3394,48355,R,15-05-2012 00:00,66753,10,0,0,0,0,0,0,0,0,1,330.82,1,1,330.82,1,USD,16-05-2012 00:00,15-05-2012 00:00,330.82,330.82,1
58477094,0,1,MAST,9851,4561,48554,R,12-01-2020 00:00,77927,10,0,0,0,0,0,0,0,0,1,164.59,2,1,164.59,1,USD,13-01-2020 00:00,12-01-2020 00:00,164.59,164.59,1
58477095,0,1,VISA,9330,3620,92575,R,07-12-2021 00:00,14174,1,0,0,0,0,0,0,0,0,1,276.47,4,1,276.47,1,USD,08-12-2021 00:00,07-12-2021 00:00,276.47,276.47,1
58477096,0,1,DISC,9451,312,25457,S,16-01-2015 00:00,74529,7,0,0,0,0,0,0,0,0,1,382.17,5,1,382.17,1,USD,17-01-2015 00:00,16-01-2015 00:00,382.17,382.17,1
58477097,0,1,CHECK,9422,2257,83520,S,04-01-2022 00:00,60196,4,0,0,0,0,0,0,0,0,1,121.55,5,1,121.55,1,USD,05-01-2022 00:00,04-01-2022 00:00,121.55,121.55,1
58477098,0,1,MAST,9330,4874,48119,R,05-01-2018 00:00,75534,9,0,0,0,0,0,0,0,0,1,154.16,2,1,154.16,1,USD,06-01-2018 00:00,05-01-2018 00:00,154.16,154.16,1
58477099,0,1,CHECK,9422,3227,71368,S,08-02-2012 00:00,73624,2,0,0,0,0,0,0,0,0,1,79.65,4,1,79.65,1,USD,09-02-2012 00:00,08-02-2012 00:00,79.65,79.65,1
58477100,0,1,MAST,9588,1581,61244,S,05-08-2017 00:00,21206,10,0,0,0,0,0,0,0,0,1,392.2,3,1,392.2,1,USD,06-08-2017 00:00,05-08-2017 00:00,392.2,392.2,1
